series_id,indicator,asset_class,maturity,active
DFF,Federal Funds Rate,RATE,O/N,TRUE
SOFR,SOFR,RATE,O/N,TRUE
T10Y2Y,10Y-2Y Treasury Spread,SPREAD,10Y-2Y,TRUE
T10Y3M,10Y-3M Treasury Spread,SPREAD,10Y-3M,TRUE
T5YIE,5-Year Breakeven Inflation,BREAKEVEN,5Y,TRUE
T10YIE,10-Year Breakeven Inflation,BREAKEVEN,10Y,TRUE
T5YIFR,5Y5Y Forward Inflation Expectation,BREAKEVEN,5Y5Y,TRUE
BAMLH0A0HYM2,High Yield OAS,CREDIT_SPREAD,ALL,TRUE
BAMLC0A4CBBB,BBB Corporate OAS,CREDIT_SPREAD,ALL,TRUE
BAMLC0A1CAAA,AAA Corporate OAS,CREDIT_SPREAD,ALL,TRUE
BAMLC0A0CM,IG Corporate OAS,CREDIT_SPREAD,ALL,TRUE
MORTGAGE30US,30-Year Mortgage Rate,MORTGAGE,30Y,TRUE
MORTGAGE15US,15-Year Mortgage Rate,MORTGAGE,15Y,TRUE
VIXCLS,VIX,VOLATILITY,30D,TRUE
GVZCLS,CBOE Gold ETF Volatility Index,VOLATILITY,,TRUE
DTWEXBGS,Dollar Index (Broad),FX,,TRUE
DEXUSEU,USD/EUR Exchange Rate,FX,,TRUE
DEXJPUS,JPY/USD Exchange Rate,FX,,TRUE
DEXCHUS,CNY/USD Exchange Rate,FX,,TRUE
DCOILWTICO,WTI Crude Oil,COMMODITY,,TRUE
DCOILBRENTEU,Brent Crude Oil,COMMODITY,,TRUE
GOLDPMGBD228NLBM,London Bullion Market Gold Price,COMMODITY,,TRUE
TEDRATE,TED Spread,SPREAD,3M,TRUE
DCPN3M,3-Month Commercial Paper Rate,RATE,3M,TRUE
